name,representative,website,phoneNumber
Total Building & Carpentry Limited,WAYNE SCOWN,,021 075 9393
Mark Duffy Builders Limited,MARK DUFFY,,021 766 851
SD Linton Building Limited,SIMON LINTON,,027 271 6664
720 Build Limited,Chris Powell,https://720build.co.nz/,027 548 7720
Trevor Mossman Builders Limited,TREVOR MOSSMAN,,027 446 7482
Alder Homes Limited,Timothy Alder,https://www.alderhomes.co.nz/,021 054 2454
Greenmount Homes Limited,MANTIS CHU,https://www.grecon.co.nz/,021 887 833
LJ Builders,LYNDON STEVENSON,,03 942 7359
Just Build It Limited,SACHA GRAY,,03 488 4268
Cornerstone Building,JASON HARVEY,https://cornerstonebuilding.co.nz/,03 928 2060
Nickel Construction,TIM NICKEL,,027 475 8282
Smith & Sons Christchurch South,Gary McColl,,027 435 4895
Semmens Building & Consultants Limited,Murray Semmens,,027 437 6228
Form Concepts Limited,GEOFFERY JUDD,,021 387 543
Frank Jones Building Limited,Frank Jones,,021 544 223
BA Building Limited,BRODIE ANDERSON,,027 640 0646
Hylkema Homes,NATHAN HYLKEMA,,021 482 440
Renovation Solutions Limited,Mike O'Leary,,027 514 1833
Coastal Construction Whitianga Limited,PETER MCGRATH,http://www.coastconstruct.co.nz/,07 866 0667
Belvedere Developments Limited,Andrew Leon Birchenough,https://www.belvederegroup.co.nz/,07 579 0109
Dilover Inc,Adam Broadbent,http://dilopez.cl,64255069569
Contour Building Contractors Ltd,Rob Anderson,,021 531 926
Hammond Building Contractors Limited,DARIN C HAMMOND,http://www.hammondbuilding.co.nz,03 351 9975
Renovation Works,Wade Haldane,,021 982 846
John H Clift Builder Limited,JOHN H CLIFT,,027 457 4810
Straight Forward Building Solutions Limited,Otto Rasch,,021 075 4645
Spectrum Construction Limited,Isaccc Driver,http://spectrumconstruction.co.nz/,021 224 4008
Edgecity Builders Limited,NICHOLAS J FARRELLY,https://www.edgecitybuilders.co.nz/,09 826 1576
DGS Builders Limited,Dan Sullivan,,027 469 8660
Feutz & Goldsmith Builders (2008) Limited,CRAIG FEUTZ,,03 359 6046
Systematic Homes Limited,Kameron Chand,,021 932 666
Stockade Builders Limited,GARY RIMMER,https://www.stockadebuilders.co.nz/,021 570 836
Hanmer Building Solutions,Simon Phillips,,
Duncan Wills Builders,DUNCAN WILLS,https://www.duncanwillsbuilders.co.nz/,07 333 7074
Timbercraft,Peter Grant,,021 344 666
Louden Construction Limited,Adam Louden,http://www.loudenconstruction.co.nz,027 221 3981
Craigs Building,CRAIG WHITTON,,06 327 5540
Framez Construction Limited,ANDREW C HAYMAN,,04 235 5777
Whangarei Heads Construction Limited,ISAAC KAKE,,021 222 2359
Drinkrow Building Limited,JESSE DRINKROW,https://www.drinkrowbuilding.co.nz/,021 215 7146
Bespoke Constructions Ltd,Barry Delahunt,,021 196 5880
Henwood & Keenan Construction Limited,Logan Henwood,,021 109 9659
Miller Construction Limited,FRASER MILLER,,027 249 7888
McGregor Construction 2015 Limited,SHANE L MCGREGOR,https://www.macbuilders.co.nz,07 883 7424
JMC Builders Limited,JAMIE CORRIGAN,http://www.jmcbuilders.co.nz/,021 052 4447
Built Rite Construction 2010 Limited,DANNY SOTHERN,https://builtrite.co.nz/,027 479 0989
DSD Contracting,56461,http://www.dsdcontracting.co.nz,027 490 4106
Daly Construction NZ Limited,PAUL DALY,https://www.dalyconstruction.co.nz/,021 071 3772
DWC Build,Dan Walker,www.dwcbuild.co.nz,021 190 1431
Glacier Construction,Caleb Freeman,,027 637 4727
Martin Building & Contracting Limited,LINDSAY MARTIN,,027 435 7105
Johnston Homes Limited,Mark Johnston,,027 283 0002
Mighty Build Limited,Bryce Knight,https://mightybuild.co.nz/,027 727 5965
MPR Builders Limited,MARK ROBERTS,,021 618 411
Matt Jack Construction Limited,Matthew Jack,,06 877 4208
Patrix Limited,Niglel P Moore,,027 494 7697
Sheffield Construction Limited,DALE SHEFFIELD,,027 459 6969
Clarke Builders Limited,Jordan Clarke,,021 454 782
Keys & Co Limited,MARTIN KEYS,,021 953 760
McKinney Builders Limited,Darren McKinney,,021 358 116
