name,representative,website,phoneNumber
Carpentry South Limited,ANDREW SMITH,https://www.carpentrysouth.co.nz/,03 202 5597
Dynamic Building,Ethan Adams,,021 231 3555
Parkin Builders (2011) Limited,Logan Parkin,,027 405 8584
Louden Construction Limited,Adam Louden,http://www.loudenconstruction.co.nz,027 221 3981
Trademark Construction Limited,Andrew Hastie,http://www.trademarknz.com/,03 344 1002
Ryse Construction Limited,Matt Nicholls,http://ryse.co.nz/,021 028 96411
Ray Hudson Builders,RAY HUDSON,,027 248 0188
Sleepoutz,DEAN NORRIE,,021 505 161
Des Offen Builder Limited,DES OFFEN,http://www.desoffenbuilder.co.nz/,027 538 6339
Evans Construction,Paul Evans,,021 027 15165
Dwayne Stevenson Builders Limited,DWAYNE STEVENSON,https://www.dsb.nz/,027 225 4522
Ecotype Limited,Darren Peart,http://www.ecotype.nz,022 075 6038
K Built,M J KNIGHTBRIDGE,,027 493 1603
Shed Boss - Whakatane,STEPHEN SMITH,http://shedboss.co.nz/,07 308 2022
Tomik Limited,TODD FLASHMAN,http://www.tomik.co.nz/auckland-builder.html,021 839 465
Oak Construction Limited,JON PAUL BAND,,06 843 4566
Pearce Builders Limited,KIPTON PEARCE,,03 443 5977
Claus Built Limited,Jaeren Claus,,020 418 46350
Building and Beyond Limited,Richard Shrubshall,https://buildingandbeyond.co.nz/,021 799 723
Andrewes Building And Consulting Limited,Haydn Andrewes,,021 284 9030
Built ChCh Limited,KARL SAUNDERS,https://www.builtchch.co.nz/,027 349 8613
Brown & Son Construction 2009 Limited,NATHAN BROWN,,021 027 46688
Southern Coast Construction Limited,BEVAN PALMER,,03 454 6916
South West Build Limited,Jake Ursell,,027 440 2704
Woods Building Solutions Limited,Rephan Woods,,027 593 0090
Stockade Builders Limited,GARY RIMMER,https://www.stockadebuilders.co.nz/,021 570 836
Rob Maughan Construction Limited,ROB MAUGHAN,,021 909 121
Stu McPherson Builder Limited,Stuart McPherson,,027 287 7042
Wilson Construction,david wilson,https://www.wilsonconstruction.co.nz/,022 430 5383
Precise Building Limited,TIM RYNBECK,,027 493 3905
Metric Build Ltd,Damian Bates,https://www.facebook.com/metricbuildltd/,027 933 5819
New Horizon Construction Ltd,J.P Liebenberg,,021 112 3971
CASSIDY&CO LTD,Scott Cassidy,https://cassidyandco.nz/,021 454 161
